passer_player_id,passer_player_name,dropbacks,dropbacks_latest,epa_per_db,cpoe,sack_rate,teams,primary_team,epa_shrunk,value_pts,league_epa_per_db
00-0038550,H.Hooker,5.0,0,-0.2473,-8.2772,0.1,DET,,-0.0539,-1.9393,0.0
00-0038416,T.Bagent,5.0,4,0.463,12.1802,0.0,CHI,CHI,-0.0399,-1.4378,0.0
00-0033319,N.Mullens,4.0,3,1.3031,34.2662,0.0,"JAX,MIN",JAX,-0.0287,-1.0329,0.0
00-0035685,D.Montgomery,4.0,3,-0.1285,17.837,0.2,DET,DET,-0.0512,-1.8445,0.0
00-0031800,T.Heinicke,4.0,0,-0.784,-11.8666,0.375,LAC,,-0.0616,-2.2162,0.0
00-0034577,K.Allen,2.5,2,-0.2855,-33.3378,0.0,"DET,PIT",DET,-0.0523,-1.8839,0.0
00-0035645,G.Olszewski,2.0,2,1.1866,-2.36,0.0,NYG,NYG,-0.0402,-1.4467,0.0
00-0039577,K.Slovis,2.0,2,-1.1007,-31.8118,0.0,ARI,ARI,-0.0583,-2.1002,0.0
00-0034348,C.Sutton,2.0,1,-0.1767,47.6996,0.3333,DEN,DEN,-0.051,-1.8362,0.0
00-0034827,D.Moore,1.5,1,2.3982,8.1874,0.0,CHI,CHI,-0.0354,-1.2743,0.0
